country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,Population,Key,GDP per capita (constant 2015 US$),GDP growth (annual %),GNI (current US$),"Inflation, consumer prices (annual %)"
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2015,70,Female,9649341,Azerbaijan2015,5500.50,1.09,51379123217,4.03
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2016,70,Female,9757812,Azerbaijan2016,5270.74,-3.10,35591412539,12.44
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2017,80,Female,9854033,Azerbaijan2017,5229.71,0.20,39321618332,12.94
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2018,79,Female,9939771,Azerbaijan2018,5262.37,1.50,44853080881,2.27
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2019,79,Female,10024283,Azerbaijan2019,5348.45,2.50,46318529412,2.61
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2020,80,Female,10093121,Azerbaijan2020,5083.56,-4.30,42422882353,2.76
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2021,83,Female,10137750,Azerbaijan2021,5345.44,5.62,53687352941,6.65
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2023,83,Female,10153958,Azerbaijan2023,5651.35,1.12,69275529412,8.79
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2014,77,Male,9535079,Azerbaijan2014,5506.18,2.75,73082959455,1.37
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2015,78,Male,9649341,Azerbaijan2015,5500.50,1.09,51379123217,4.03
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2016,77,Male,9757812,Azerbaijan2016,5270.74,-3.10,35591412539,12.44
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2017,88,Male,9854033,Azerbaijan2017,5229.71,0.20,39321618332,12.94
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2018,88,Male,9939771,Azerbaijan2018,5262.37,1.50,44853080881,2.27
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2019,88,Male,10024283,Azerbaijan2019,5348.45,2.50,46318529412,2.61
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2020,88,Male,10093121,Azerbaijan2020,5083.56,-4.30,42422882353,2.76
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2021,85,Male,10137750,Azerbaijan2021,5345.44,5.62,53687352941,6.65
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2023,85,Male,10153958,Azerbaijan2023,5651.35,1.12,69275529412,8.79
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2013,72,Total,9416801,Azerbaijan2013,5426.10,5.81,70472288892,2.42
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2014,74,Total,9535079,Azerbaijan2014,5506.18,2.75,73082959455,1.37
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2015,74,Total,9649341,Azerbaijan2015,5500.50,1.09,51379123217,4.03
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2016,73,Total,9757812,Azerbaijan2016,5270.74,-3.10,35591412539,12.44
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2017,84,Total,9854033,Azerbaijan2017,5229.71,0.20,39321618332,12.94
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2018,84,Total,9939771,Azerbaijan2018,5262.37,1.50,44853080881,2.27
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2019,84,Total,10024283,Azerbaijan2019,5348.45,2.50,46318529412,2.61
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2020,84,Total,10093121,Azerbaijan2020,5083.56,-4.30,42422882353,2.76
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2021,84,Total,10137750,Azerbaijan2021,5345.44,5.62,53687352941,6.65
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2023,84,Total,10153958,Azerbaijan2023,5651.35,1.12,69275529412,8.79
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2015,100,Female,1370322,Bahrain2015,23734.06,2.51,30787393617,1.85
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2016,100,Female,1423726,Bahrain2016,23715.28,3.81,32089202128,2.79
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2017,100,Female,1501116,Bahrain2017,23606.89,4.95,35215186170,1.39
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2018,100,Female,1503091,Bahrain2018,24059.78,2.05,37491914894,2.09
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2019,100,Female,1483756,Bahrain2019,24873.66,2.05,38186170213,1.01
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2020,100,Female,1472204,Bahrain2020,23586.93,-5.91,33378590426,-2.32
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2021,100,Female,1504365,Bahrain2021,24086.78,4.35,38312287234,-0.61
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2022,100,Female,1524693,Bahrain2022,25187.14,5.98,44717632979,3.63
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2015,100,Male,1370322,Bahrain2015,23734.06,2.51,30787393617,1.85
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2016,100,Male,1423726,Bahrain2016,23715.28,3.81,32089202128,2.79
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2017,100,Male,1501116,Bahrain2017,23606.89,4.95,35215186170,1.39
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2018,100,Male,1503091,Bahrain2018,24059.78,2.05,37491914894,2.09
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2019,100,Male,1483756,Bahrain2019,24873.66,2.05,38186170213,1.01
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2020,100,Male,1472204,Bahrain2020,23586.93,-5.91,33378590426,-2.32
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2021,100,Male,1504365,Bahrain2021,24086.78,4.35,38312287234,-0.61
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2022,100,Male,1524693,Bahrain2022,25187.14,5.98,44717632979,3.63
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2015,100,Total,1370322,Bahrain2015,23734.06,2.51,30787393617,1.85
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2016,100,Total,1423726,Bahrain2016,23715.28,3.81,32089202128,2.79
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2017,100,Total,1501116,Bahrain2017,23606.89,4.95,35215186170,1.39
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2018,100,Total,1503091,Bahrain2018,24059.78,2.05,37491914894,2.09
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2019,100,Total,1483756,Bahrain2019,24873.66,2.05,38186170213,1.01
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2020,100,Total,1472204,Bahrain2020,23586.93,-5.91,33378590426,-2.32
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2021,100,Total,1504365,Bahrain2021,24086.78,4.35,38312287234,-0.61
Bahrain,BH,BHR,48,Proportion of individuals who own a mobile telephone,2022,100,Total,1524693,Bahrain2022,25187.14,5.98,44717632979,3.63
Bangladesh,BD,BGD,50,Proportion of individuals who own a mobile telephone,2021,51,Female,167658854,Bangladesh2021,1702.08,6.94,4.38E+11,5.55
Bangladesh,BD,BGD,50,Proportion of individuals who own a mobile telephone,2023,55,Female,171466990,Bangladesh2023,1885.38,5.78,4.55E+11,9.88
Bangladesh,BD,BGD,50,Proportion of individuals who own a mobile telephone,2021,72,Male,167658854,Bangladesh2021,1702.08,6.94,4.38E+11,5.55
Bangladesh,BD,BGD,50,Proportion of individuals who own a mobile telephone,2023,72,Male,171466990,Bangladesh2023,1885.38,5.78,4.55E+11,9.88
Bangladesh,BD,BGD,50,Proportion of individuals who own a mobile telephone,2021,62,Total,167658854,Bangladesh2021,1702.08,6.94,4.38E+11,5.55
Bangladesh,BD,BGD,50,Proportion of individuals who own a mobile telephone,2023,64,Total,171466990,Bangladesh2023,1885.38,5.78,4.55E+11,9.88
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2017,95,Female,9458989,Belarus2017,5964.91,2.53,52669765497,6.03
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2018,96,Female,9438785,Belarus2018,6165.93,3.15,57861187726,4.87
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2019,96,Female,9419758,Belarus2019,6267.75,1.45,62499831005,5.60
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2020,97,Female,9379952,Belarus2020,6252.00,-0.67,58875118002,5.55
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2021,98,Female,9302585,Belarus2021,6457.74,2.44,67115938432,9.46
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2022,98,Female,9228071,Belarus2022,6206.63,-4.66,70678268154,15.21
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2017,91,Male,9458989,Belarus2017,5964.91,2.53,52669765497,6.03
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2018,94,Male,9438785,Belarus2018,6165.93,3.15,57861187726,4.87
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2019,94,Male,9419758,Belarus2019,6267.75,1.45,62499831005,5.60
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2020,95,Male,9379952,Belarus2020,6252.00,-0.67,58875118002,5.55
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2021,96,Male,9302585,Belarus2021,6457.74,2.44,67115938432,9.46
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2022,96,Male,9228071,Belarus2022,6206.63,-4.66,70678268154,15.21
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2017,93,Total,9458989,Belarus2017,5964.91,2.53,52669765497,6.03
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2018,95,Total,9438785,Belarus2018,6165.93,3.15,57861187726,4.87
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2019,95,Total,9419758,Belarus2019,6267.75,1.45,62499831005,5.60
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2020,96,Total,9379952,Belarus2020,6252.00,-0.67,58875118002,5.55
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2021,97,Total,9302585,Belarus2021,6457.74,2.44,67115938432,9.46
Belarus,BY,BLR,112,Proportion of individuals who own a mobile telephone,2022,97,Total,9228071,Belarus2022,6206.63,-4.66,70678268154,15.21
Bhutan,BT,BTN,64,Proportion of individuals who own a mobile telephone,2021,88,Female,775442,Bhutan2021,3206.20,4.42,2612193375,7.35
Bhutan,BT,BTN,64,Proportion of individuals who own a mobile telephone,2021,86,Male,775442,Bhutan2021,3206.20,4.42,2612193375,7.35
Bhutan,BT,BTN,64,Proportion of individuals who own a mobile telephone,2021,87,Total,775442,Bhutan2021,3206.20,4.42,2612193375,7.35
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2014,85,Female,200085127,Brazil2014,9338.34,0.50,2.41E+12,6.33
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2015,85,Female,201675532,Brazil2015,8936.20,-3.55,1.77E+12,9.03
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2016,84,Female,203218114,Brazil2016,8577.84,-3.28,1.76E+12,8.74
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2017,84,Female,204703445,Brazil2017,8628.25,1.32,2.02E+12,3.45
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2018,84,Female,206107261,Brazil2018,8722.34,1.78,1.86E+12,3.66
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2019,86,Female,207455459,Brazil2019,8771.44,1.22,1.82E+12,3.73
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2020,90,Female,208660842,Brazil2020,8435.01,-3.28,1.45E+12,3.21
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2021,90,Female,209550294,Brazil2021,8799.23,4.76,1.62E+12,8.30
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2022,89,Female,210306415,Brazil2022,9032.08,3.02,1.9E+12,9.28
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2014,83,Male,200085127,Brazil2014,9338.34,0.50,2.41E+12,6.33
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2015,82,Male,201675532,Brazil2015,8936.20,-3.55,1.77E+12,9.03
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2016,82,Male,203218114,Brazil2016,8577.84,-3.28,1.76E+12,8.74
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2017,83,Male,204703445,Brazil2017,8628.25,1.32,2.02E+12,3.45
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2018,82,Male,206107261,Brazil2018,8722.34,1.78,1.86E+12,3.66
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2019,83,Male,207455459,Brazil2019,8771.44,1.22,1.82E+12,3.73
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2020,88,Male,208660842,Brazil2020,8435.01,-3.28,1.45E+12,3.21
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2021,88,Male,209550294,Brazil2021,8799.23,4.76,1.62E+12,8.30
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2022,87,Male,210306415,Brazil2022,9032.08,3.02,1.9E+12,9.28
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2014,84,Total,200085127,Brazil2014,9338.34,0.50,2.41E+12,6.33
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2015,84,Total,201675532,Brazil2015,8936.20,-3.55,1.77E+12,9.03
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2016,83,Total,203218114,Brazil2016,8577.84,-3.28,1.76E+12,8.74
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2017,83,Total,204703445,Brazil2017,8628.25,1.32,2.02E+12,3.45
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2018,83,Total,206107261,Brazil2018,8722.34,1.78,1.86E+12,3.66
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2019,85,Total,207455459,Brazil2019,8771.44,1.22,1.82E+12,3.73
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2020,89,Total,208660842,Brazil2020,8435.01,-3.28,1.45E+12,3.21
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2021,89,Total,209550294,Brazil2021,8799.23,4.76,1.62E+12,8.30
Brazil,BR,BRA,76,Proportion of individuals who own a mobile telephone,2022,88,Total,210306415,Brazil2022,9032.08,3.02,1.9E+12,9.28
"Virgin Islands, British",VG,VGB,92,Proportion of individuals who own a mobile telephone,2016,78,Female,33878,"Virgin Islands, British2016",0.00,0.00,0,0.00
"Virgin Islands, British",VG,VGB,92,Proportion of individuals who own a mobile telephone,2017,77,Female,32699,"Virgin Islands, British2017",0.00,0.00,0,0.00
"Virgin Islands, British",VG,VGB,92,Proportion of individuals who own a mobile telephone,2016,76,Male,33878,"Virgin Islands, British2016",0.00,0.00,0,0.00
"Virgin Islands, British",VG,VGB,92,Proportion of individuals who own a mobile telephone,2017,76,Male,32699,"Virgin Islands, British2017",0.00,0.00,0,0.00
"Virgin Islands, British",VG,VGB,92,Proportion of individuals who own a mobile telephone,2016,77,Total,33878,"Virgin Islands, British2016",0.00,0.00,0,0.00
"Virgin Islands, British",VG,VGB,92,Proportion of individuals who own a mobile telephone,2017,77,Total,32699,"Virgin Islands, British2017",0.00,0.00,0,0.00
Brunei,BN,BRN,96,Proportion of individuals who own a mobile telephone,2016,99,Female,427564,Brunei2016,29492.41,-2.48,12235340081,-0.28
Brunei,BN,BRN,96,Proportion of individuals who own a mobile telephone,2019,99,Female,442680,Brunei2019,29996.24,3.87,13830321068,-0.39
Brunei,BN,BRN,96,Proportion of individuals who own a mobile telephone,2016,99,Male,427564,Brunei2016,29492.41,-2.48,12235340081,-0.28
Brunei,BN,BRN,96,Proportion of individuals who own a mobile telephone,2019,91,Male,442680,Brunei2019,29996.24,3.87,13830321068,-0.39
Brunei,BN,BRN,96,Proportion of individuals who own a mobile telephone,2016,99,Total,427564,Brunei2016,29492.41,-2.48,12235340081,-0.28
Brunei,BN,BRN,96,Proportion of individuals who own a mobile telephone,2019,94,Total,442680,Brunei2019,29996.24,3.87,13830321068,-0.39
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2013,9,Female,10439341,Burundi2013,296.82,4.92,2453391158,7.94
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2014,7,Female,10799785,Burundi2014,299.08,4.24,2698322226,4.41
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2017,12,Female,11506762,Burundi2017,269.48,0.50,2725061088,16.05
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2013,20,Male,10439341,Burundi2013,296.82,4.92,2453391158,7.94
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2014,16,Male,10799785,Burundi2014,299.08,4.24,2698322226,4.41
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2017,25,Male,11506762,Burundi2017,269.48,0.50,2725061088,16.05
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2013,14,Total,10439341,Burundi2013,296.82,4.92,2453391158,7.94
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2014,11,Total,10799785,Burundi2014,299.08,4.24,2698322226,4.41
Burundi,BI,BDI,108,Proportion of individuals who own a mobile telephone,2017,18,Total,11506762,Burundi2017,269.48,0.50,2725061088,16.05
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2015,68,Female,512394,Cape Verde2015,3415.06,0.94,1690799360,0.13
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2016,71,Female,512554,Cape Verde2016,3560.14,4.28,1790348394,-1.41
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2017,74,Female,512893,Cape Verde2017,3719.71,4.55,1935686295,0.78
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2019,71,Female,514104,Cape Verde2019,4115.90,6.95,2210013290,1.11
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2015,74,Male,512394,Cape Verde2015,3415.06,0.94,1690799360,0.13
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2016,74,Male,512554,Cape Verde2016,3560.14,4.28,1790348394,-1.41
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2017,75,Male,512893,Cape Verde2017,3719.71,4.55,1935686295,0.78
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2019,73,Male,514104,Cape Verde2019,4115.90,6.95,2210013290,1.11
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2015,71,Total,512394,Cape Verde2015,3415.06,0.94,1690799360,0.13
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2016,72,Total,512554,Cape Verde2016,3560.14,4.28,1790348394,-1.41
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2017,74,Total,512893,Cape Verde2017,3719.71,4.55,1935686295,0.78
Cape Verde,CV,CPV,132,Proportion of individuals who own a mobile telephone,2019,72,Total,514104,Cape Verde2019,4115.90,6.95,2210013290,1.11
Cambodia,KH,KHM,116,Proportion of individuals who own a mobile telephone,2017,27,Female,16073372,Cambodia2017,1753.94,8.08,28215504536,2.91
Cambodia,KH,KHM,116,Proportion of individuals who own a mobile telephone,2019,71,Female,16481304,Cambodia2019,2008.32,7.94,35040667434,1.94
Cambodia,KH,KHM,116,Proportion of individuals who own a mobile telephone,2017,26,Male,16073372,Cambodia2017,1753.94,8.08,28215504536,2.91
Cambodia,KH,KHM,116,Proportion of individuals who own a mobile telephone,2019,72,Male,16481304,Cambodia2019,2008.32,7.94,35040667434,1.94
Cambodia,KH,KHM,116,Proportion of individuals who own a mobile telephone,2017,26,Total,16073372,Cambodia2017,1753.94,8.08,28215504536,2.91
Cambodia,KH,KHM,116,Proportion of individuals who own a mobile telephone,2018,62,Total,16274522,Cambodia2018,1884.28,8.78,31820166407,2.46
Cameroon,CM,CMR,120,Proportion of individuals who own a mobile telephone,2014,75,Total,22059893,Cameroon2014,1381.82,5.72,35703010550,1.85
Chile,CL,CHL,152,Proportion of individuals who own a mobile telephone,2016,99,Female,18267221,Chile2016,13505.10,1.75,2.42E+11,3.79
Chile,CL,CHL,152,Proportion of individuals who own a mobile telephone,2017,97,Female,18558868,Chile2017,13473.35,1.36,2.65E+11,2.18
Chile,CL,CHL,152,Proportion of individuals who own a mobile telephone,2016,92,Male,18267221,Chile2016,13505.10,1.75,2.42E+11,3.79
Chile,CL,CHL,152,Proportion of individuals who own a mobile telephone,2017,87,Male,18558868,Chile2017,13473.35,1.36,2.65E+11,2.18
Chile,CL,CHL,152,Proportion of individuals who own a mobile telephone,2016,95,Total,18267221,Chile2016,13505.10,1.75,2.42E+11,3.79
Chile,CL,CHL,152,Proportion of individuals who own a mobile telephone,2017,92,Total,18558868,Chile2017,13473.35,1.36,2.65E+11,2.18
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2014,96,Male,7229500,Hong Kong2014,41796.87,2.76,2.97E+11,4.42
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2015,97,Male,7291300,Hong Kong2015,42432.16,2.39,3.15E+11,2.99
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2016,97,Male,7336600,Hong Kong2016,43087.55,2.18,3.29E+11,2.41
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2017,97,Male,7393200,Hong Kong2017,44380.81,3.80,3.56E+11,1.49
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2018,97,Male,7452600,Hong Kong2018,45280.50,2.85,3.79E+11,2.41
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2019,98,Male,7507900,Hong Kong2019,44195.29,-1.67,3.81E+11,2.88
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2020,97,Male,7481000,Hong Kong2020,41451.33,-6.54,3.65E+11,0.25
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2014,95,Total,7229500,Hong Kong2014,41796.87,2.76,2.97E+11,4.42
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2015,96,Total,7291300,Hong Kong2015,42432.16,2.39,3.15E+11,2.99
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2016,96,Total,7336600,Hong Kong2016,43087.55,2.18,3.29E+11,2.41
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2017,97,Total,7393200,Hong Kong2017,44380.81,3.80,3.56E+11,1.49
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2018,97,Total,7452600,Hong Kong2018,45280.50,2.85,3.79E+11,2.41
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2019,97,Total,7507900,Hong Kong2019,44195.29,-1.67,3.81E+11,2.88
Hong Kong,HK,HKG,344,Proportion of individuals who own a mobile telephone,2020,97,Total,7481000,Hong Kong2020,41451.33,-6.54,3.65E+11,0.25
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2014,92,Female,621700,Macao2014,92322.23,-2.05,46126611953,6.05
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2015,92,Female,642900,Macao2015,70070.29,-21.51,40245123332,4.56
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2016,92,Female,652500,Macao2016,68570.51,-0.68,40643927303,2.37
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2018,90,Female,658900,Macao2018,79378.34,6.41,48800564682,3.00
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2019,91,Female,672000,Macao2019,75835.76,-2.56,48730916539,2.75
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2014,93,Male,621700,Macao2014,92322.23,-2.05,46126611953,6.05
Macao,MO,MAC,446,Proportion of individuals who own a mobile telephone,2015,93,Male,642900,Macao2015,70070.29,-21.51,40245123332,4.56
